Month,#Passengers,Passengers_Boxcox,Passenger_diff
1949-02-01,118,6.932822238117411,0.10533218956865831
1949-03-01,132,7.16189150669883,0.2290692685814193
1949-04-01,129,7.114610783589224,-0.047280723109606626
1949-05-01,121,6.983786865169171,-0.13082391842005237
1949-06-01,135,7.208265423717443,0.22447855854827203
1949-07-01,148,7.399597944048322,0.19133252033087889
1949-08-01,148,7.399597944048322,0.0
1949-09-01,136,7.223528341575268,-0.1760696024730546
1949-10-01,119,6.9499318820424465,-0.2735964595328211
1949-11-01,104,6.6793011189547125,-0.27063076308773404
1949-12-01,118,6.932822238117411,0.2535211191626985
1950-01-01,115,6.880741478963892,-0.05208075915351884
1950-02-01,126,7.066383802341994,0.18564232337810171
1950-03-01,141,7.298438466399235,0.23205466405724096
1950-04-01,135,7.208265423717443,-0.0901730426817915
1950-05-01,125,7.050090658352717,-0.15817476536472608
1950-06-01,149,7.413714850890992,0.3636241925382748
1950-07-01,170,7.692977545845739,0.2792626949547472
1950-08-01,170,7.692977545845739,0.0
1950-09-01,158,7.537260050891966,-0.15571749495377318
1950-10-01,133,7.177448360456272,-0.35981169043569405
1950-11-01,114,6.863123887374006,-0.31432447308226585
1950-12-01,140,7.283639551733022,0.4205156643590158
1951-01-01,145,7.356754080129689,0.07311452839666721
1951-02-01,150,7.427751267179895,0.07099718705020575
1951-03-01,178,7.791663000885212,0.3639117337053168
1951-04-01,163,7.603326800743035,-0.1883362001421771
1951-05-01,172,7.71801394090486,0.11468714016182524
1951-06-01,178,7.791663000885212,0.07364905998035187
1951-07-01,199,8.033799571017825,0.24213657013261347
1951-08-01,199,8.033799571017825,0.0
1951-09-01,184,7.8632265091034625,-0.1705730619143626
1951-10-01,162,7.590252932831355,-0.2729735762721077
1951-11-01,146,7.371118598537492,-0.2191343342938632
1951-12-01,166,7.642142516744495,0.27102391820700333
1952-01-01,171,7.705526928420227,0.06338441167573183
1952-02-01,180,7.815742852587656,0.11021592416742898
1952-03-01,193,7.966930119760605,0.15118726717294884
1952-04-01,181,7.827697407436345,-0.13923271232425982
1952-05-01,183,7.851438670201127,0.02374126276478261
1952-06-01,218,8.234785232458584,0.383346562257457
1952-07-01,230,8.354157965376645,0.11937273291806072
1952-08-01,242,8.468337379276804,0.11417941390015862
1952-09-01,209,8.141524456017478,-0.3268129232593253
1952-10-01,191,7.944246510021879,-0.19727794599559978
1952-11-01,172,7.71801394090486,-0.22623256911701883
1952-12-01,194,7.978196914261351,0.2601829733564909
1953-01-01,196,8.000582856701056,0.02238594243970571
1953-02-01,196,8.000582856701056,0.0
1953-03-01,236,8.41186603727205,0.4112831805709938
1953-04-01,235,8.402335486768033,-0.009530550504017299
1953-05-01,229,8.344415538265078,-0.057919948502954455
1953-06-01,243,8.47763303643097,0.1332174981658909
1953-07-01,264,8.665686181893188,0.1880531454622183
1953-08-01,272,8.73398286105583,0.0682966791626427
1953-09-01,237,8.421362243671263,-0.31262061738456737
1953-10-01,211,8.162540663519597,-0.25882158015166645
1953-11-01,180,7.815742852587656,-0.34679781093194073
1953-12-01,201,8.055707807294342,0.23996495470668577
1954-01-01,204,8.088224445706231,0.03251663841188979
1954-02-01,188,7.909838706379338,-0.1783857393268935
1954-03-01,235,8.402335486768033,0.49249678038869504
1954-04-01,227,8.324821447590598,-0.07751403917743538
1954-05-01,234,8.392770321008896,0.06794887341829892
1954-06-01,264,8.665686181893188,0.2729158608842912
1954-07-01,302,8.97573697968057,0.3100507977873832
1954-08-01,293,8.905443705647082,-0.07029327403348873
1954-09-01,259,8.62209995055752,-0.2833437550895628
1954-10-01,229,8.344415538265078,-0.2776844122924409
1954-11-01,203,8.077431099659417,-0.266984438605661
1954-12-01,229,8.344415538265078,0.266984438605661
1955-01-01,242,8.468337379276804,0.12392184101172532
1955-02-01,233,8.383170265533497,-0.08516711374330654
1955-03-01,267,8.69150146147983,0.30833119594633196
1955-04-01,269,8.708574693482296,0.01707323200246691
1955-05-01,270,8.717070788816702,0.008496095334406206
1955-06-01,315,9.07418455944529,0.3571137706285885
1955-07-01,364,9.416616277072164,0.34243171762687297
1955-08-01,347,9.302523890489523,-0.11409238658264087
1955-09-01,312,9.051777440267985,-0.25074645022153774
1955-10-01,274,8.750789316761027,-0.3009881235069578
1955-11-01,237,8.421362243671263,-0.3294270730897644
1955-12-01,278,8.784091042556833,0.36272879888556986
1956-01-01,284,8.833286154197353,0.04919511164052004
1956-02-01,277,8.775804074806983,-0.05748207939037009
1956-03-01,317,9.08902184196801,0.3132177671610279
1956-04-01,313,9.059266798178495,-0.029755043789515767
1956-05-01,318,9.09641059743199,0.03714379925349576
1956-06-01,374,9.481625152538708,0.3852145551067174
1956-07-01,413,9.721790985156266,0.2401658326175582
1956-08-01,405,9.674150978682373,-0.04764000647389288
1956-09-01,355,9.356794014173692,-0.3173569645086811
1956-10-01,306,9.006406916539428,-0.3503870976342647
1956-11-01,271,8.725540117129281,-0.2808667994101466
1956-12-01,306,9.006406916539428,0.2808667994101466
1957-01-01,315,9.07418455944529,0.06777764290586319
1957-02-01,301,8.968015444051755,-0.10616911539353602
1957-03-01,356,9.36350432538563,0.3954888813338755
1957-04-01,348,9.30936559471702,-0.05413873066861008
1957-05-01,355,9.356794014173692,0.04742841945667209
1957-06-01,422,9.77445522486497,0.4176612106912785
1957-07-01,465,10.01359053620594,0.23913531134097
1957-08-01,467,10.024247320204012,0.010656783998070907
1957-09-01,404,9.668139730750433,-0.356107589453579
1957-10-01,347,9.302523890489523,-0.36561584026090976
1957-11-01,305,8.998771600112846,-0.3037522903766767
1957-12-01,336,9.22613489243416,0.22736329232131425
1958-01-01,340,9.25415593210162,0.02802103966745939
1958-02-01,318,9.09641059743199,-0.15774533466962914
1958-03-01,362,9.40343224037303,0.30702164294103973
1958-04-01,348,9.30936559471702,-0.0940666456560102
1958-05-01,363,9.410031994614977,0.10066639989795689
1958-06-01,435,9.84886108610095,0.4388290914859727
1958-07-01,491,10.149186253799959,0.3003251676990093
1958-08-01,505,10.219683523651478,0.0704972698515185
1958-09-01,404,9.668139730750433,-0.5515437929010449
1958-10-01,359,9.383539351333466,-0.2846003794169665
1958-11-01,310,9.036737164839131,-0.3468021864943349
1958-12-01,337,9.233166687633016,0.19642952279388481
1959-01-01,360,9.390185998922286,0.15701931128926994
1959-02-01,342,9.268061272262207,-0.12212472666007912
1959-03-01,406,9.680149594339268,0.4120883220770608
1959-04-01,396,9.619587941885484,-0.06056165245378331
1959-05-01,420,9.76283534232577,0.14324740044028594
1959-06-01,472,10.050720141653988,0.28788479932821787
1959-07-01,548,10.426263995039916,0.37554385338592766
1959-08-01,559,10.476884897235138,0.05062090219522197
1959-09-01,463,10.002894629480009,-0.47399026775512887
1959-10-01,407,9.686135635283193,-0.31675899419681564
1959-11-01,362,9.40343224037303,-0.28270339491016294
1959-12-01,405,9.674150978682373,0.270718738309343
1960-01-01,417,9.745316815883442,0.07116583720106817
1960-02-01,391,9.588817022131641,-0.15649979375180045
1960-03-01,419,9.75700771278116,0.16819069064951897
1960-04-01,461,9.992159286469644,0.2351515736884835
1960-05-01,472,10.050720141653988,0.05856085518434462
1960-06-01,535,10.365310889117838,0.31459074746384985
1960-07-01,622,10.751452535462816,0.38614164634497783
1960-08-01,606,10.68404893805281,-0.06740359741000645
1960-09-01,508,10.23457308240102,-0.44947585565178905
1960-10-01,461,9.992159286469644,-0.2424137959313768
1960-11-01,390,9.582622643238288,-0.4095366432313554
1960-12-01,432,9.831860353410754,0.24923771017246565
